#{"t_start": 1658871395.0272448, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-813.399425,101,3640.16368
-804.968292,101,8984.18013
-823.515893,101,14659.763828
-821.029231,101,20574.630796
-811.272238,101,26436.864964
-793.263395,101,32362.068378
-805.933806,101,38617.277831
-800.676024,101,44572.172832
-808.615048,101,50773.086305
-793.228269,101,56889.234547
-812.32013,101,63092.901289
-805.015498,101,69220.090255
-798.638425,101,75328.151234
-790.017794,101,81166.074541
-801.220163,101,87021.027875
-810.765774,101,93225.733106
-802.411774,101,99227.212539
-808.614745,101,105248.47898
-804.707702,101,111388.333693
-809.962454,101,117475.435368
-793.444896,101,123658.224221
-777.32845,101,129542.370465
-794.89146,101,135607.192565
-813.767754,101,142049.339801
-775.847726,101,148261.453983
-797.685601,101,154488.489554
-820.063187,101,160674.173447
-758.080398,101,166904.512008
-776.605735,101,173123.457272
-803.790243,101,179262.763173
-815.534922,101,185409.890383
-806.453312,101,191659.476454
-798.966083,101,197839.347531
-794.965903,101,203983.868183
-791.181381,101,210198.706687
-806.642771,101,216336.857298
-781.808695,101,219507.199134
-794.650055,101,221049.720109
-787.515727,101,222634.142887
-786.006456,101,224280.443371
-785.88251,101,225935.61766
-803.749169,101,227543.040674
-791.174858,101,229199.231912
-745.183055,101,230836.970951
-813.839038,101,232493.868045
-783.574545,101,234070.820184
-811.970607,101,235657.646638
-777.445325,101,237282.298229
-792.308832,101,238861.765725
-776.619153,101,240412.500969
-790.474949,101,242004.461779
-786.592775,101,243661.811276
-719.866976,101,245259.95065
-776.286282,101,246828.28626
-766.081554,101,248516.007003
-777.555854,101,250203.814117
-790.189949,101,251760.843592
-789.166261,101,253362.07025
-761.773577,101,254937.994452
-771.938242,101,256527.966008
-762.360195,101,258096.112415
-783.206298,101,259674.839922
-761.035259,101,261262.64835
-729.709489,101,262873.855885
-788.346762,101,264465.056133
-780.672164,101,266049.783906
-793.61875,101,267680.056854
-781.889097,101,269284.326333
-724.663578,101,270881.410055
-730.852453,101,272463.625547
-762.817745,101,274059.848811
-735.510029,101,275658.975215
-735.911959,101,277299.29667
-739.108067,101,278908.499461
-747.455182,101,280527.772675
-720.029435,101,282124.168494
-673.034725,101,283762.871821
-712.763363,101,285382.116488
-699.540069,101,287021.750849
-728.73912,101,288642.906163
-760.490063,101,290260.762253
-674.712352,101,291909.504323
-737.342455,101,293497.573338
-682.821297,101,295137.13663
-642.34952,101,296759.476961
-675.066252,101,298379.65032
-714.302271,101,299994.950159
