#{"t_start": 1658871393.2086105, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-2356.078413,322,64447.088925
-242.966946,34,71361.692615
-352.585437,48,80774.498934
-89.300972,12,83310.470171
-1487.00503,203,124809.025225
-1446.854774,196,164608.402368
-935.677892,125,190278.754985
-1246.381032,175,221022.890376
-925.727423,126,229036.491608
-1533.287103,212,243654.297732
-415.186111,57,247405.316802
-298.326988,43,250332.295649
-1177.776923,164,261376.002389
-2315.664257,317,282060.108197
-1074.692253,151,291934.862465
-1119.177681,155,302337.237381
-185.816571,26,304131.301023
-1215.998991,164,315137.029919
-436.133649,60,319265.053387
-1711.059582,232,335187.763323
-49.652707,8,335757.858774
-735.128175,98,342933.920127
-675.269874,94,349362.3163
-27.480181,4,349618.228683
-1434.255547,199,363082.128608
-130.025928,21,364539.430737
-1762.29319,239,380455.31651
-447.007269,60,384427.817034
-571.492707,80,389762.013378
-374.641444,55,393499.403412
-12.437326,2,393609.14483
-51.5956,7,394053.885622
-259.826901,36,396485.768523
-537.139342,73,401424.799497
-700.836952,96,407809.715137
-528.317507,73,412680.227349
-344.110624,47,415853.831499
-109.323499,15,416882.263149
-1003.437921,140,426359.97463
-9.532699,2,426493.774834
-634.26018,89,432529.359785
-119.222056,16,433541.515239
-266.35702,38,436084.287055
-143.810924,20,437449.51307
-110.370849,17,438581.606682
-67.6316,10,439282.689537
-163.352478,25,440984.821883
-50.717612,7,441456.697093
-113.668244,16,442520.56942
-580.955786,82,448029.381107
-1108.172187,156,458474.411657
-283.671912,38,461095.726588
-102.751823,14,462002.465255
-1412.258117,194,475079.824795
-1499.95185,212,489807.166436
-356.715165,49,493277.789135
-293.997392,43,496296.057808
-317.368271,44,499380.5866
-380.518632,53,503068.976189
-140.694198,21,504503.443649
-613.112363,89,510792.532647
-90.697162,14,511746.697463
-753.079255,106,519050.808724
-679.236393,98,525896.360701
-86.560414,13,526830.907661
-548.840114,79,532369.953648
-475.089934,69,537347.943614
-75.633561,10,538056.887387
-139.338446,19,539378.335121
-279.993877,41,542238.297441
-68.631159,9,542910.373836
-109.745652,16,544072.967831
-95.341308,13,544973.371948
-197.838704,28,546960.01771
-708.639394,100,554034.949746
-658.130337,96,560878.782756
-127.389036,19,562177.602537
-28.177648,4,562469.340782
-57.717273,10,563173.427666
-172.3671,24,564838.905449
-33.430466,7,565363.246886
-257.993284,37,568014.181428
-239.990933,34,570478.502705
-82.855523,13,571436.181206
-855.599655,118,580103.972416
-88.356409,14,581113.606463
-821.795734,119,590159.108841
-259.613977,39,593372.031479
-60.827118,9,594045.776792
-250.428396,35,596819.34288
-535.127399,76,603521.285173
-35.672631,5,603911.204507
-49.564934,7,604551.282017
-33.903778,6,605048.631185
-151.567503,23,607066.43062
-21.193777,3,607342.226978
-114.831337,18,609044.72357
-134.321827,21,610902.658703
-170.526431,25,613076.022709
-36.686416,6,613649.730434
-126.149644,19,615415.158875
-577.402783,83,628848.205065
-48.464969,7,631269.31239
-81.100237,12,634988.915285
-430.867361,62,651154.161337
-634.161631,87,665711.869219
-479.169306,69,684977.750773
-450.106949,64,700896.831615
-208.69307,30,707049.01717
-47.51317,7,707622.237258
-37.841413,6,708234.272983
-351.252474,50,712738.583786
-18.175443,3,713013.073061
-174.580984,26,715300.031947
-59.268324,9,716102.356062
-5.428225,2,716300.886364
-33.423489,5,716740.548012
-364.634812,53,721438.556438
-85.763394,12,722540.280212
-129.117485,19,724258.617086
-77.626642,11,725273.408726
-155.012441,23,727298.910825
-21.98434,3,727523.621181
-283.374906,40,731243.254591
-177.573821,26,733626.005654
-45.440707,6,734162.733876
-200.460438,31,736808.738002
-184.402703,26,739043.812654
-27.848263,5,739460.408516
-10.125101,2,739654.611954
-79.090621,11,740602.940532
-162.520662,23,774863.272919
-70.088918,12,775888.955866
-66.887118,11,776839.612995
-454.287371,66,782827.147423
-31.171112,5,783279.592862
-22.1313,3,783582.98499
-678.129733,99,792574.570628
-257.367305,38,795667.867423
-282.542776,39,799036.97875
-145.061124,22,804075.367162
-158.080476,22,811624.396352
-15.356106,3,812571.861277
-42.359739,6,814591.791138
-40.050928,6,816635.824692
-235.290022,37,825435.141626
-232.647758,35,830960.421219
-259.886705,37,838262.990333
-139.749713,20,845093.084019
-410.343614,58,863020.715208
-247.735172,37,872558.325831
-71.443011,10,874157.502701
-161.637057,25,877959.785225
-53.023684,7,879617.613433
-207.573986,31,887581.900485
-66.432144,9,890470.092388
-126.401851,19,896887.191197
-362.028408,54,911064.774384
-236.026759,35,916356.408283
-38.37088,6,917256.769079
-32.625653,5,918026.695307
-115.33196,17,923225.248538
-17.755899,3,924225.271456
-39.006087,6,926415.979039
-204.59107,29,936237.408677
-42.59742,6,938304.661544
-46.760319,7,940884.315535
-97.311454,14,943460.566226
-75.891594,12,945169.226136
-46.154823,7,946309.384952
-36.199483,5,946993.400566
-153.661408,23,950570.859142
-242.503944,37,960569.161868
-129.093659,20,967145.635183
-260.0159,39,974676.367654
-207.068832,30,977047.696959
-64.26195,10,977892.49542
-93.590212,14,979009.883773
-26.918457,4,979289.429402
-109.027503,17,980668.810135
-240.897112,36,983335.369621
-149.656984,22,984986.509969
-202.327306,30,987258.718299
-235.759685,34,990075.017332
-22.262535,4,990420.442983
-115.154262,18,991958.649777
-141.21942,20,993362.340595
-80.472924,12,994255.990993
-86.99845,13,995196.213068
-36.400708,5,995563.613208
-34.875591,6,996041.093647
-53.46194,8,996582.706493
-18.371328,3,996800.562574
-25.210953,4,997085.211528
-125.66977,19,998576.117697
-129.68972,20,1000118.908344
-73.183712,12,1001000.983973
-118.360328,16,1002664.382681
-193.481287,30,1005077.14176
-351.768024,52,1008905.167748
-54.480705,9,1009634.745471
-137.427688,21,1011081.271377
-50.077348,7,1011587.439546
-109.099675,17,1012824.901585
-65.975051,10,1013578.192636
