#{"t_start": 1658871392.879689, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-1545.744283,201,21674.245504
-1553.445276,201,45692.892421
-1556.044309,201,69137.186402
-1570.221645,201,92207.091212
-1578.655859,201,116549.612468
-1530.361134,201,141086.030756
-1557.284793,201,165409.340049
-1514.996745,201,190066.204373
-1578.737841,201,214725.114846
-1547.295762,201,223688.213449
-1546.595555,201,229681.799249
-1546.589178,201,237229.022393
-1552.740261,201,243575.046829
-1545.354169,201,249992.368236
-1555.451334,201,256197.277812
-1521.889931,201,262452.005421
-1491.618666,201,268431.596958
-1510.033995,201,274473.927652
-1502.633474,201,280501.964074
-1524.234954,201,286538.587293
-1488.543538,201,293176.613631
-1535.763562,201,300219.357404
-1568.497617,201,306374.559224
-1488.972534,201,312599.754675
-1526.098395,201,318977.078005
-1515.62112,201,325373.959666
-351.258965,46,326812.567533
-498.878744,70,329090.927078
-1478.877737,201,335547.314607
-717.693519,98,338658.149806
-1377.862592,201,345102.674267
-724.870711,99,348388.642946
-1120.362727,160,353249.859325
-130.929158,21,353908.161707
-257.315234,39,355118.771939
-135.719126,20,355734.409532
-49.714792,8,355971.095597
-412.111754,59,357807.108404
-191.674216,25,358577.103101
-22.351446,4,358692.60208
-478.876483,65,360674.185901
-290.92858,42,361956.80791
-671.710325,102,365149.876393
-831.002181,116,368675.783687
-286.249953,42,369942.251808
-47.86891,7,370158.118662
-182.505662,28,371018.200812
-395.554946,56,372678.015819
-82.592715,14,373133.852865
-64.252389,10,373423.194728
-76.606644,13,373813.487231
-94.157886,14,374242.490646
-310.979558,42,375532.203735
-85.785342,12,375922.688692
-371.555374,52,377502.138901
-209.223769,34,378611.62688
-228.455698,33,379640.754781
-364.463659,59,381524.967571
-590.764437,82,384019.772208
-96.403304,14,384453.980888
-177.420545,29,385310.968758
-79.370589,11,385637.83134
-201.921044,31,386595.747645
-135.667436,19,387188.736016
-108.847556,18,387720.625949
-147.179316,21,388347.196738
-172.599307,27,389182.807161
-74.737062,12,389552.957934
-70.040104,13,389964.39195
-178.356222,25,390746.259365
-28.560261,5,390895.253659
-172.299218,25,391636.712023
-23.873003,4,391758.716658
-106.160692,15,392199.372001
-70.230519,10,392506.96637
-27.736981,6,392695.332712
-111.61815,17,393217.53273
-134.845391,21,393870.442001
-39.300752,7,394097.2791
-148.885419,22,394768.051058
-50.049096,8,395019.115623
-71.491652,13,395416.719056
-261.210376,37,396540.004434
-25.628876,4,396664.199075
-31.56303,5,396814.046052
-68.434002,11,397138.715438
-41.816777,7,397366.747146
-26.066809,4,397476.325969
-86.764679,14,397877.310456
-52.432628,10,398168.502336
-52.047836,9,398437.858117
-193.831665,28,399328.893842
-49.664238,8,399557.855988
-28.344419,5,399709.601857
-61.468818,11,400034.14635
-123.291853,20,400633.536587
-119.955074,17,401168.836115
-67.200586,13,401575.677276
-28.062828,5,401715.801277
-59.16313,12,402086.057953
-50.873956,9,402378.468588
-33.5861,5,402539.097346
-141.875432,21,403207.834518
-168.222765,27,404042.736248
-54.062242,8,404283.925165
-28.02982,5,404441.89133
-79.010593,12,404825.023337
-79.31568,13,405206.211227
-120.007615,18,405751.268553
-35.947996,6,405959.779304
-132.273427,19,406539.461892
-42.36213,8,406786.157209
-66.244939,12,407163.695722
-47.923469,8,407417.077606
-102.485734,16,407922.368822
-27.567432,5,408066.283845
-118.070193,18,408607.633084
-13.228696,3,408698.547219
-45.783435,7,408915.552826
-37.292862,8,409181.007966
-178.390186,36,410304.710978
-29.341029,5,410455.80567
-76.575675,12,410815.871646
-108.442154,15,411283.176948
-28.652898,5,411448.116036
-87.494839,15,411931.596801
-32.975889,7,412142.230662
-85.80502,13,412542.040412
-33.073624,6,412718.744686
-61.061876,10,413024.931401
-14.568896,3,413118.03766
-140.903165,20,413745.669433
-49.019513,7,413950.553396
-45.261877,7,414171.12185
-39.368645,6,414350.356669
-55.665334,10,414656.415476
-32.974803,5,414815.899537
-26.00351,4,414943.530136
-37.418241,6,415114.240809
-31.01592,6,415298.09682
-115.833264,20,415896.665229
-72.733162,12,416270.252461
-48.20476,9,416550.583624
-52.528915,8,416793.983418
-33.976113,5,416947.943616
-45.776217,7,417160.195916
-64.989297,11,417488.311055
-38.954613,6,417662.166786
-93.033375,13,418096.060392
-51.033859,8,418331.990953
-35.823341,6,418516.09192
-36.161385,7,418728.744578
-21.581923,4,418850.328146
-59.772612,8,419091.220235
-27.462877,4,419226.806185
-73.137283,11,419568.995999
-147.582774,21,420188.921445
-35.348855,6,420397.305991
-36.83557,6,420572.260306
-34.616546,5,420717.162019
-38.525825,7,420946.66584
-47.645412,8,421186.749096
-37.371357,6,421388.491047
-28.244427,5,421518.463661
-17.483267,4,421648.032533
-92.963274,13,422040.042545
-29.097097,5,422193.057729
-36.576535,8,422421.810455
-90.681661,14,422999.946342
-118.142247,18,423545.855641
-31.83657,5,423696.174669
-47.310563,7,423908.772492
-25.668083,5,424092.581032
-37.088762,7,424304.078419
