#{"t_start": 1658871395.4250085, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-413.072302,51,526.708706
-416.508307,51,1514.219465
-405.614353,51,2679.736187
-407.618375,51,3935.676657
-416.557222,51,5326.595396
-415.212861,51,6805.230042
-410.588189,51,8247.173681
-404.447143,51,9688.548263
-413.11171,51,11116.497155
-417.961175,51,12566.423655
-410.028883,51,13979.884032
-412.77922,51,15414.013121
-414.137284,51,16920.631375
-417.052435,51,18460.209002
-416.355272,51,20040.220484
-417.746776,51,21498.449177
-418.185326,51,23041.900646
-411.717563,51,24605.386715
-395.50967,51,26122.174806
-403.067546,51,27634.358986
-408.455854,51,29229.44312
-417.98595,51,30783.85061
-414.3393,51,32347.737471
-406.70194,51,33860.519415
-414.571645,51,35403.177504
-391.577324,51,36962.437011
-404.113958,51,38550.776133
-408.615176,51,40118.190331
-411.337153,51,41716.479002
-414.298683,51,43226.995728
-375.048735,51,44835.751809
-404.681751,51,46392.898538
-375.651527,51,47969.606412
-397.420313,51,49537.755054
-394.182898,51,51109.723014
-418.19892,51,52662.425933
-388.642334,51,54241.377842
-359.594458,51,55813.604958
-402.827833,51,57422.745333
-384.563428,51,59042.381033
-398.776106,51,60618.366045
-368.659465,51,62190.124736
-375.649617,51,63751.887526
-385.735064,51,64071.872012
-378.224725,51,64879.431064
-400.569584,51,66518.090153
-390.875532,51,68122.804583
-415.279158,51,69724.492545
-409.258231,51,71310.537158
-400.039853,51,72928.261712
-391.839341,51,74593.227856
-393.489284,51,76197.225734
-359.612456,51,77822.406647
-361.484061,51,79412.305451
-405.278045,51,81000.152081
-361.156172,51,82644.284204
-350.908448,51,84244.470696
-374.809554,51,85887.318084
-352.770568,51,87516.628925
-352.927799,51,89112.992413
-366.12846,51,90754.076848
-357.025486,51,92411.685077
-340.739836,51,94016.33187
-353.629992,51,95669.348912
-350.219837,51,97295.67077
-381.463333,51,98950.573743
-354.19996,51,100597.359617
-359.200542,51,102221.817643
-339.881896,51,103536.901428
-338.561047,51,105156.556491
-359.320219,51,106773.763768
-380.878976,51,108418.484883
