#{"t_start": 1658871392.1993887, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-816.466866,101,4196.576544
-800.697865,101,10006.811243
-792.674773,101,15869.70177
-814.343722,101,21860.276096
-806.499607,101,27735.03473
-809.687556,101,33808.757885
-805.240887,101,39874.926094
-798.658869,101,45593.860072
-820.128484,101,51381.380468
-812.560467,101,57124.840806
-806.841152,101,62945.118215
-801.262136,101,68598.796984
-809.159481,101,74302.724486
-794.808748,101,80104.007715
-778.812065,101,85849.417935
-804.827885,101,91468.23069
-808.268038,101,97648.056476
-812.245673,101,103761.630665
-796.672932,101,109781.592707
-806.501298,101,115872.871888
-806.201486,101,122091.198009
-822.469592,101,128081.29887
-781.092708,101,133504.890608
-780.007212,101,139889.965723
-789.569641,101,146351.786627
-789.049258,101,152628.211494
-785.514425,101,159038.599498
-809.843327,101,165154.990731
-786.468694,101,171302.210347
-802.188583,101,177429.095347
-806.263245,101,183532.167511
-801.597415,101,189822.125872
-797.92986,101,196107.671264
-796.650134,101,202236.894917
-811.123833,101,208320.782578
-771.635438,101,214406.038904
-791.56439,101,219197.722671
-805.048783,101,221088.920743
-774.243934,101,222652.930518
-760.578659,101,224235.393852
-806.143391,101,225852.957292
-794.882684,101,227446.924188
-806.775283,101,229041.559714
-775.968951,101,230641.809439
-800.341094,101,232262.067769
-777.518187,101,233869.540992
-792.15759,101,235508.101856
-796.818633,101,237134.073783
-781.58658,101,238741.38813
-805.57944,101,240325.193153
-794.464919,101,241857.834831
-759.243221,101,243407.205305
-755.663454,101,244964.625298
-716.611596,101,246509.045306
-805.011312,101,248069.518488
-739.233086,101,249699.005487
-786.520087,101,251328.266844
-734.875119,101,252902.73522
-763.491091,101,254447.336399
-760.422031,101,256061.67708
-753.907148,101,257772.354607
-758.518368,101,259466.429779
-735.809353,101,261207.181071
-752.476049,101,262949.012619
-739.504675,101,264713.212747
-774.10631,101,266392.329908
-769.779161,101,268019.711874
-798.001013,101,269605.754623
-755.540111,101,271217.48702
-743.353648,101,272814.562444
-747.288872,101,274456.906137
-754.099878,101,276061.389721
-716.240662,101,277682.571486
-750.091916,101,279293.745901
-716.541443,101,280922.381851
-736.614372,101,282536.339333
-721.397081,101,284173.710807
-731.886079,101,285817.556812
-767.546981,101,287456.360179
-702.539002,101,289111.56293
-687.524837,101,290727.189444
-764.874204,101,292367.732542
-730.303533,101,293979.705281
-613.26389,101,295619.172444
-748.36522,101,297272.723725
-619.281609,101,298885.922306
-689.409836,101,300525.757301
-683.886865,101,302167.594323
-483.165103,81,303442.270093
-234.220151,36,304018.045252
-690.86434,101,305653.580906
-535.018742,79,306949.9628
-204.778279,42,307642.925706
-180.251538,27,308082.496366
-300.747511,50,308905.329441
-307.151654,60,309858.015056
-135.075984,24,310225.190008
-110.084567,20,310544.82181
-156.046932,25,310953.140402
-182.159292,28,311420.875786
-194.61281,36,312010.425287
-211.868069,32,312531.891004
-253.678425,44,313236.035251
-235.632855,44,313960.62122
-71.002246,12,314139.440173
-131.235455,25,314557.878229
-64.260575,12,314756.107475
-240.206445,50,315580.345117
-87.102963,17,315849.337552
-165.605091,26,316275.869435
-194.702294,34,316822.312352
-132.594131,20,317151.23246
-65.357054,13,317361.114242
-144.575365,28,317804.296918
-48.343243,9,317946.59377
-103.955896,21,318278.76923
-110.729023,21,318626.069006
-75.116824,13,318832.354046
-152.067943,29,319306.846976
-58.712567,9,319451.603741
-90.983406,15,319689.229939
-166.812545,27,320128.646515
-94.0099,19,320450.274215
-97.42768,15,320684.338767
-110.712059,18,320974.551265
-72.874629,12,321175.279886
-143.095127,24,321569.158702
