#{"t_start": 1658871393.208807, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-813.183597,101,4190.726109
-817.102108,101,9977.006333
-799.457617,101,15861.946353
-785.910072,101,21848.819956
-804.602484,101,27726.165291
-800.696167,101,33801.886977
-810.71447,101,39842.336344
-801.301342,101,45598.668713
-808.007458,101,51366.363801
-806.96979,101,57141.077051
-798.24769,101,62914.549656
-821.164421,101,68619.395702
-791.738325,101,74289.136916
-807.634623,101,80097.118809
-799.965123,101,85872.801259
-808.758058,101,91454.909054
-808.412466,101,97651.19704
-793.813818,101,103770.696888
-808.663237,101,109797.744753
-791.33755,101,115867.954069
-811.08694,101,122079.685316
-807.551213,101,128094.393013
-812.654922,101,133534.164732
-806.218535,101,139914.181738
-822.803453,101,146346.083462
-816.528038,101,152628.622568
-811.716154,101,159020.609016
-801.744913,101,165160.252326
-813.292181,101,171291.682384
-794.449902,101,177437.628026
-815.910421,101,183548.364848
-795.066438,101,189810.472603
-795.144702,101,196086.088563
-787.015644,101,202231.524253
-814.135896,101,208332.133486
-817.019752,101,214428.360315
-795.036521,101,219199.176356
-770.856436,101,221089.701338
-800.1605,101,222645.656248
-784.017193,101,224236.613865
-782.6171,101,225852.545646
-799.73776,101,227446.933336
-805.555219,101,229041.868839
-785.620218,101,230637.468921
-765.501183,101,232262.404536
-766.445288,101,233870.780529
-805.001697,101,235511.772354
-797.972757,101,237133.475209
-780.765116,101,238739.622552
-772.049607,101,240326.818616
-784.003737,101,241848.861882
-801.614133,101,243401.271897
-799.391448,101,244963.934367
-773.862098,101,246506.648602
-770.931675,101,248069.593076
-790.091561,101,249698.091966
-785.893494,101,251333.073935
-761.830292,101,252904.36342
-765.889001,101,254447.573975
-778.757011,101,256069.009697
-758.241355,101,257777.40173
-761.702933,101,259467.310113
-802.037073,101,261201.807551
-730.67804,101,262953.583961
-782.721334,101,264708.520782
-801.986185,101,266394.110422
-762.986446,101,268019.122573
-773.444997,101,269608.074824
-728.701972,101,271217.216415
-746.191939,101,272812.597125
-755.506689,101,274453.662263
-737.199401,101,276059.43348
-751.53601,101,277675.578948
-706.247524,101,279296.209399
-179.197054,24,279672.775051
-753.391743,101,281299.333171
-728.607246,101,282923.760158
-754.450459,101,284552.780936
-699.766959,101,286216.435559
-723.372489,101,287854.768066
-700.028031,101,289487.899493
-750.995015,101,291115.843621
-758.243723,101,292755.949841
-707.754371,101,294358.088573
-730.768017,101,296019.326675
