#{"t_start": 1658871395.8764923, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-1165.060209,151,10969.654534
-1177.386503,151,24653.223382
-1178.371128,151,38158.757971
-1170.701674,151,51601.623425
-1193.612885,151,64680.288532
-1166.624343,151,76555.405373
-1158.811924,151,90160.826483
-1183.024689,151,103573.524764
-1183.069502,151,117183.937812
-1176.217585,151,130620.982192
-1189.512947,151,144422.09567
-1170.62421,151,158719.480345
-1178.660596,151,172381.715174
-1145.583164,151,186148.55619
-226.387549,30,188909.377194
-1148.363892,151,202448.489298
-1197.804625,151,216615.625908
-1185.070581,151,222006.778793
-1176.531658,151,226212.210372
-1177.306328,151,230422.59084
-1090.521913,151,234587.350341
-1179.703889,151,238766.019129
-1133.558755,151,243026.990669
-1144.071138,151,247225.448195
-1062.872474,151,251546.712041
-1184.631033,151,255813.814753
-1160.530956,151,260116.754077
-1108.91995,151,264374.500554
-1154.936025,151,268643.756813
-1142.854926,151,272994.196153
-1019.38819,151,277279.456494
-1107.22955,151,281517.823169
-731.727361,100,284354.243805
-381.62815,58,286016.635873
-807.279523,109,289133.945844
-230.237799,34,290108.470886
-327.613516,49,291493.550541
-100.877653,16,291931.347037
-121.497606,18,292403.603335
-290.648676,40,293561.353355
-362.694727,51,295043.130625
-578.9299,86,297536.591509
-106.864249,19,298079.586248
-60.895017,10,298353.475911
-71.077741,11,298678.460191
-103.827843,17,299157.014472
-286.323765,41,300293.758832
-197.797811,34,301273.555814
-39.45586,7,301465.501187
-192.958039,34,302437.70019
-166.869241,23,303131.12764
-193.680666,35,304123.314639
-97.292284,15,304513.373275
-292.746506,40,305663.787597
-165.558919,32,306564.793985
-993.35822,151,310914.724427
-167.566513,25,311630.294505
-100.660956,18,312159.924358
-85.568829,16,312604.113271
-60.097988,10,312874.181201
-183.3168,28,313652.632993
-280.104391,46,314982.421052
-75.619401,11,315297.283439
-268.025268,38,316335.496447
-576.504259,87,318834.100027
-125.900447,20,319426.962968
-239.998314,33,320391.472634
-142.345101,20,320982.59343
-209.477306,31,321875.323348
-121.567595,18,322389.296228
-131.238108,20,322951.792538
-85.853197,14,323343.339321
-83.651003,12,323675.184345
-47.216133,7,323880.755788
-134.688725,20,324466.271786
-77.073575,12,324809.420598
-235.12353,33,325715.125837
-54.590967,9,325967.418607
-56.832001,9,326235.553897
-51.114719,8,326465.458866
-35.203253,6,326646.541624
-291.602021,43,327881.131808
-79.155801,13,328231.851133
-57.280998,10,328514.590347
-126.012494,21,329070.120012
-39.574965,8,329316.695518
-227.428354,34,330274.072848
-167.929966,26,331006.635911
-50.505059,8,331225.699693
-105.342633,16,331707.263633
-43.517825,7,331915.631455
-85.712424,13,332273.392503
-44.636362,8,332506.671578
-55.464023,9,332759.059326
-23.690687,5,332891.655031
-103.435645,15,333318.461601
-66.107535,11,333620.879864
-39.141388,7,333832.492237
-77.062611,12,334170.779301
-69.552086,11,334475.256382
-50.092861,10,334777.423264
-92.729266,17,335253.671596
-67.253155,11,335575.17249
-35.125247,6,335756.48178
-56.985058,9,336014.247957
-73.669836,13,336386.698006
-69.781333,12,336729.036821
-52.956436,8,336970.434893
-102.228152,15,337373.790712
-28.970741,5,337517.040514
-43.524342,9,337760.631132
-55.569941,9,338011.023339
-58.847023,10,338289.792503
-58.679372,9,338561.81566
-56.927412,10,338843.409585
-48.75204,8,339080.236241
-82.947064,14,339496.570427
-66.44237,12,339843.728567
-37.302298,6,340012.081244
-29.394831,5,340158.019821
-54.947412,14,340512.859022
-38.528624,7,340707.526837
-20.791329,5,340844.257869
-57.021394,10,341127.089853
-62.570297,10,341392.751538
-42.138895,7,341579.175806
-50.762469,8,341821.86143
-42.61015,10,342103.779273
-28.639003,5,342251.231725
-32.900082,6,342419.25886
-69.182942,10,342708.050698
-24.735501,5,342832.908262
-89.004658,16,343304.042533
-29.140545,5,343445.446122
-35.880104,8,343666.961514
-129.220533,19,344206.885838
-65.680323,12,344540.2438
-48.826849,8,344765.743573
-50.578548,7,344963.393261
-40.577629,7,345149.01993
-38.294044,8,345365.77972
-47.586011,7,345557.541714
-54.336742,9,345823.03724
-45.347854,8,346066.045886
-25.262753,5,346213.51802
-65.923621,9,346470.661012
-119.148638,19,347020.795706
-26.493259,5,347174.182623
-40.72436,7,347376.734793
-57.210148,10,347663.294993
-58.181339,11,347995.826476
-52.667109,10,348288.936185
-29.246115,5,348433.790039
-59.706394,9,348675.822363
-56.293286,10,348958.031418
-57.717324,10,349246.429845
-89.817569,15,349672.413869
-25.946713,6,349863.574193
-59.624191,9,350119.936188
-57.435375,10,350398.210183
-78.546469,14,350804.927178
-40.338357,6,350978.890758
-45.692417,9,351255.129785
-52.853576,10,351538.189906
-61.406131,10,351809.937337
-33.793548,6,351976.558143
-31.065823,6,352161.678926
-45.263603,7,352353.045082
-54.252393,9,352617.551271
-36.914089,7,352791.441751
-29.903151,5,352932.657075
-45.051111,7,353132.391554
-47.100501,8,353368.262557
-63.406496,10,353636.620746
-15.956666,3,353706.204437
-30.101048,5,353844.795532
-25.008226,5,354001.137374
-53.576914,8,354226.779165
-51.780384,9,354484.450275
-40.603753,7,354676.264982
-50.731085,8,354904.140834
-51.063368,9,355155.232391
-51.478256,9,355409.462243
-20.620688,5,355555.193235
-38.044567,7,355755.428872
-34.992103,5,355915.631326
-18.968035,4,356011.071801
-45.708381,8,356249.668068
-24.300815,5,356397.722656
-53.092258,10,356676.342777
-48.619748,8,356909.691201
-25.703973,6,357065.427794
-28.751952,5,357196.71366
-33.010573,6,357360.431825
-17.490619,4,357486.967786
-36.118133,7,357681.626423
-37.327703,6,357842.561881
-65.957164,10,358137.890074
-27.437119,6,358320.119037
-25.808908,5,358465.865858
-25.893388,5,358602.360573
-80.041452,12,358952.12595
-24.099278,4,359081.352938
-31.425057,7,359268.568981
-24.088902,5,359423.572486
-13.235434,3,359517.437714
-25.971753,5,359661.648475
-18.49947,4,359788.925628
-31.245058,5,359929.00166
-55.411082,9,360181.813386
-89.266363,13,360563.819487
-32.333834,6,360731.127838
-30.567772,5,360883.519111
-47.826674,9,361150.193737
-42.014355,7,361369.978557
-67.744376,12,361704.237261
-24.138188,4,361812.664016
-21.646933,5,361949.936512
-36.065455,7,362158.892858
-26.582629,5,362301.066759
-48.107687,8,362515.083885
-65.285693,11,362835.494496
-16.657933,4,362955.420383
-32.196614,6,363128.581351
-21.386086,4,363239.892662
-38.448417,7,363432.179466
-41.096166,7,363650.16221
-29.820742,5,363804.94209
-19.850384,4,363921.69256
-52.338635,9,364177.010899
